nt,nf,train_acc,acc,time
1,1,0.9266547406082289,0.9285714285714286,0.3904802839997501
1,2,0.9284436493738819,0.9357142857142857,0.72053810899979
1,3,0.9373881932021467,0.9214285714285714,1.5618529749999652
1,4,0.32558139534883723,0.32142857142857145,1.9262780890003341
1,9,0.38998211091234347,0.32142857142857145,7.9367732000000615
10,1,0.962432915921288,0.9714285714285714,1.3371042139997371
10,2,0.9463327370304114,0.9642857142857143,4.469363549999798
10,3,0.9391771019677997,0.8928571428571429,10.067370145000496
10,4,0.9534883720930233,0.9357142857142857,19.382149189999836
10,9,0.9516994633273703,0.9357142857142857,79.77611904300011
25,1,0.8604651162790697,0.8357142857142857,2.889284119999502
25,2,0.9677996422182469,0.9571428571428572,10.87863926999944
25,3,0.9677996422182469,0.9642857142857143,27.364880734000508
25,4,0.9660107334525939,0.9571428571428572,48.239116388000184
25,9,0.9731663685152058,0.9642857142857143,197.42517750699972
50,1,0.964221824686941,0.9714285714285714,5.6825124219994905
50,2,0.9660107334525939,0.9714285714285714,21.982113310000386
50,3,0.9731663685152058,0.9714285714285714,52.13562794600057
50,4,0.9660107334525939,0.9714285714285714,97.03144056899964
50,9,0.9767441860465116,0.9642857142857143,386.6537526480006
75,1,0.9427549194991055,0.9428571428571428,8.311647958000322
75,2,0.9552772808586762,0.9642857142857143,31.464967611000247
75,3,0.9570661896243292,0.9642857142857143,79.21215423500053
75,4,0.9677996422182469,0.9857142857142858,141.40629850500045
75,9,0.9785330948121646,0.9714285714285714,587.6891573909998
100,1,0.9660107334525939,0.9785714285714285,10.844926766000754
100,2,0.960644007155635,0.9642857142857143,42.13966165999955
100,3,0.960644007155635,0.95,103.29908234200047
100,4,0.9749552772808586,0.9642857142857143,186.44460785499996
100,9,0.9767441860465116,0.9785714285714285,777.8718209660001
