nt,nf,train_acc,acc,time
1,1,0.5416666666666666,0.6111111111111112,0.21353293799984385
1,2,0.6898148148148148,0.7037037037037037,4.0107920020000165
1,4,0.7824074074074074,0.5740740740740741,1.893696557000112
1,5,0.8194444444444444,0.4444444444444444,2.422743751000098
1,13,0.7638888888888888,0.6296296296296297,9.314814790000128
10,1,0.7731481481481481,0.6851851851851852,1.3085313920000772
10,2,0.7962962962962963,0.7592592592592593,5.677076640999985
10,4,0.7453703703703703,0.6666666666666666,36.1415775710002
10,5,0.8611111111111112,0.6851851851851852,32.26423520100002
10,13,0.7824074074074074,0.7407407407407407,82.2120312230004
25,1,0.8703703703703703,0.8703703703703703,6.042603037999925
25,2,0.7916666666666666,0.7407407407407407,29.232611618999726
25,4,0.8842592592592593,0.7037037037037037,64.0696274009997
25,5,0.8981481481481481,0.6296296296296297,68.31811173899996
25,13,0.8703703703703703,0.7222222222222222,200.18934552500014
50,1,0.8564814814814815,0.7592592592592593,17.743536285999653
50,2,0.8888888888888888,0.7592592592592593,53.8804181280002
50,4,0.8935185185185185,0.7407407407407407,119.42318657399983
50,5,0.9351851851851852,0.8333333333333334,146.62039086100003
50,13,0.8611111111111112,0.6851851851851852,405.72202955500006
75,1,0.8518518518518519,0.7592592592592593,24.119309030000295
75,2,0.8935185185185185,0.8333333333333334,76.92222102100004
75,4,0.9351851851851852,0.7407407407407407,198.6745722730002
75,5,0.9351851851851852,0.7592592592592593,206.62883956899987
75,13,0.8703703703703703,0.7777777777777778,592.6849207570003
100,1,0.8564814814814815,0.7962962962962963,24.903999721999753
100,2,0.8935185185185185,0.7592592592592593,133.6043804030005
100,4,0.9120370370370371,0.7592592592592593,242.95274509200044
100,5,0.9583333333333334,0.7962962962962963,288.66541520600003
100,13,0.9074074074074074,0.7592592592592593,796.3108878319999
