nt,nf,train_acc,acc,time
1,10,0.8379629629629629,0.6296296296296297,9.403226316
1,13,0.8101851851851852,0.6111111111111112,10.481533807000002
1,3,0.6527777777777778,0.6666666666666666,0.36089949300000157
1,6,0.9814814814814815,0.5555555555555556,5.7947816209999985
1,runif,0.9537037037037037,0.5740740740740741,5.030281560999999
10,10,0.9722222222222222,0.7222222222222222,90.137513322
10,13,0.9722222222222222,0.6666666666666666,104.581096964
10,3,0.9675925925925926,0.5925925925925926,18.21659207900001
10,6,1.0,0.6851851851851852,63.42732134899998
10,runif,0.9166666666666666,0.6296296296296297,54.96263795300001
25,10,0.9768518518518519,0.6296296296296297,205.25275191099996
25,13,0.9444444444444444,0.6666666666666666,249.32039220399997
25,3,0.9814814814814815,0.7037037037037037,52.54783846800001
25,6,0.9953703703703703,0.8333333333333334,109.92971069999999
25,runif,0.9953703703703703,0.6851851851851852,161.19791245399995
50,10,0.9953703703703703,0.7037037037037037,389.41918487
50,13,0.9861111111111112,0.7222222222222222,469.72262535999994
50,3,0.9861111111111112,0.7037037037037037,78.1857881530002
50,6,0.9814814814814815,0.7777777777777778,232.7810888949998
50,runif,1.0,0.7037037037037037,265.5823235849998
75,10,0.9907407407407407,0.7407407407407407,645.0604498970001
75,13,0.9907407407407407,0.6851851851851852,771.7362566019997
75,3,0.9861111111111112,0.7407407407407407,159.14192900599983
75,6,0.9861111111111112,0.6481481481481481,362.22746917399945
75,runif,0.9907407407407407,0.6851851851851852,441.44753709500037
100,10,0.9953703703703703,0.7222222222222222,845.281358659
100,13,0.9861111111111112,0.7407407407407407,1040.8537746929997
100,3,1.0,0.7222222222222222,225.46700702700036
100,6,0.9953703703703703,0.7407407407407407,511.28415734100054
100,runif,1.0,0.6851851851851852,572.5237161910009
